suite,name,summary,precondition,step_number,step,expectedresult
앱 실행,최초 진입_001,사진/미디어 권한,,1,"1. 설치 후 앱 최초 실행
2. 권한 팝업 노출 확인",사진 / 미디어 / 파일 액세스 권한 팝업이 노출된다.
앱 실행,최초 진입_002,오디오 권한,,1,"1. 설치 후 앱 최초 실행
2. 미디어 권한 노출
3. 오디오 권한 노출 확인",오디오 녹음 권한 팝업이 노출된다.
앱 실행,진입_001,권한,,1,"1. 최초 실행
2. 모든 권한 거부
3. 로그아웃 후 재실행
4. 권한 팝업 노출 확인",미디어 > 오디오 순으로 권한 팝업이 재노출된다.
앱 실행,데이터삭제_001,권한,,1,"1. 데이터 삭제 후 진입
2. 권한 팝업 노출 확인",미디어 > 오디오 순으로 권한 팝업이 노출된다.
앱 실행,앱 정보_001,권한,,1,"1. 앱 정보에서 권한 설정하지 않음으로 변경
2. 앱 진입",미디어 > 오디오 순으로 권한 팝업이 노출된다.
앱 실행,진입_002,오디오 권한,,1,"1. 오디오 권한 거부
2. 에피소드, 레벨테스트 등 음성인식 필요한 컴포넌트 진입",오디오 녹음 권한 팝업이 노출된다.
로그인 및 회원가입,로그인 페이지_001,페이지 ui,,1,1. 로그인 페이지 ui 확인,"- 이메일 주소 입력 필드
- 비밀번호 입력 필드
- 회원가입 버튼
- 로그인 버튼
- 아이디 찾기 버튼
- 로그인 버튼"
로그인 및 회원가입,이메일 입력 필드_001,,,1,"1. 이메일 입력 필드 선택
2. 이메일 입력",키패드가 노출되며 텍스트 입력이 가능하다.
로그인 및 회원가입,이메일 입력 필드_002,입력 텍스트 삭제,,1,"1. 이메일 입력 필드 선택
2. 이메일 입력
3. 우측 x 버튼 클릭",이메일 입력 필드에 입력된 이메일 삭제가 이루어진다.
로그인 및 회원가입,비밀번호 입력 필드_001,,,1,"1. 비밀번호 입력 필드 선택
2. 비밀번호 입력",키패드가 노출되며 텍스트 입력이 가능하다.
로그인 및 회원가입,비밀번호 입력 필드_002,비밀번호 노출/비노출,,1,"1. 비밀번호 입력 필드 선택
2. 비밀번호 입력
3. 우측 눈 버튼 클릭",비밀번호 입력 필드에 입력된 비밀번호가 마스킹 처리 되지 않고 노출된다.
로그인 및 회원가입,이메일 주소_001,유효성체크,,1,"1. 이메일 입력 하지 않음
2. 비밀번호 입력하지 않음
3. 로그인 버튼 클릭","로그인에 실패하며 아래의 안내 팝업이 노출된다.
- 아이디를 입력해주세요. [ 확인 ] 버튼"
로그인 및 회원가입,이메일 주소_002,유효성체크,,1,"1. 이메일 입력 필드에 이메일 형식이 아닌 문자 입력
2. 비밀번호 입력
3. 로그인 버튼 클릭","로그인에 실패하며 아래의 안내 팝업이 노출된다.
- 올바른 이메일 형식이 아닙니다. [ 확인 ] 버튼"
로그인 및 회원가입,이메일 주소_003,유효성체크,,1,"1. 이메일 입력 필드에 가입되지 않은 이메일 정보 입력
2. 비밀번호 입력
3. 로그인 버튼 클릭","로그인에 실패하며 아래의 안내 팝업이 노출된다.
- 이메일 주소 또는 비밀번호가 맞지 않습니다. 다시 확인해주세요. [확인] 버튼"
로그인 및 회원가입,비밀번호_001,유효성체크,,1,"1. 유효한 이메일 입력
2. 비밀번호 입력하지 않음
3. 로그인 버튼 클릭","로그인에 실패하며 아래의 안내 팝업이 노출된다.
- 비밀번호를 입력해주세요. [ 확인 ] 버튼"
로그인 및 회원가입,비밀번호_002,유효성체크,,1,"1. 유효한 이메일 입력
2. 틀린 비밀번호 입력
3. 로그인 버튼 클릭","로그인에 실패하며 아래의 안내 팝업이 노출된다.
- 이메일 주소 또는 비밀번호가 맞지 않습니다. 다시 확인해주세요. [확인] 버튼"
로그인 및 회원가입,로그인 성공_001,,,1,"1. 유효한 이메일 입력
2. 유효한 비밀번호 입력
3. 로그인 버튼 클릭",정상적으로 로그인이 이루어지며 홈 화면으로 이동이된다.
로그인 및 회원가입,회원가입 진입_001,,,1,1. 로그인 페이지에서 회원가입 버튼 클릭,회원가입 페이지로 이동된다.
로그인 및 회원가입,회원가입 페이지 (1/2)_001,ui 확인,,1,1. 회원가입 페이지 ui 확인,"- skt 고객 프로모션 안내 영역
- 이름 입력 필드
- 휴대폰 번호 입력 필드
- 인증번호 받기 버튼
- 인증번호 입력 필드"
로그인 및 회원가입,회원가입 페이지 (1/2)_002,skt 고객 프로모션 안내,,1,1. skt 고객 프로모션 안내 문구 확인,"SPEAKIT X SKT 5GX
SKT 5GX 이용고객에게는 55% 할인 혜택이 제공됩니다.
위 문구 회원가입 페이지 중앙 상단에 노출"
로그인 및 회원가입,회원가입 페이지 (1/2)_003,이름 입력 필드,,1,1. 이름 입력 필드 선택,선택 시 키패드가 노출된다.
로그인 및 회원가입,회원가입 페이지 (1/2)_004,이름 입력 필드,,1,"1. 이름 입력 필드 선택
2. 텍스트 입력",이름입력 필드에 텍스트가 정상적으로 입력된다.
로그인 및 회원가입,회원가입 페이지 (1/2)_005,휴대폰 번호 입력 필드,,1,1. 휴대폰 번호 입력 필드 선택,선택 시 숫자 키패드가 노출된다.
