suite,name,summary,precondition,step_number,step,expectedresult
어드민,챌린지 관리_018,챌린지 목록,,2,"1. 챌린지 관리 > [등록] 클릭
2. 내용 입력 > [저장] 클릭",응모 등록되며 챌린지 시작일시에 앱 > 노출되는지 확인
어드민,챌린지 관리_019,챌린지 목록,,3,"1. 챌린지 관리 > [등록] 클릭
2. 내용 입력 > [취소] 클릭",챌린지 등록되지 않으며 목록으로 이동된다.
어드민,챌린지 관리_020,인증샷 승인관리,,1,"1. 챌린지 관리 > 인증샷 승인관리 탭 진입
2. 목록 확인","필터 : 전체, 승인대기, 인증성공, 인증실패
리스트 : 번호/유형/프로필명/인증샷/등록일시/처리일시/인증상태/지급된 응모패스"
어드민,챌린지 관리_021,인증샷 승인관리,,2,"1. 챌린지 관리 > 인증샷 승인관리 탭
2. 필터 : 승인대기
3. 목록 확인","아래와 같이 노출된다.

번호/유형/타이틀명/인증샷/등록일시/처리일시/인증상태
인증샷 승인, 인증샷 반려 버튼"
어드민,챌린지 관리_022,인증샷 승인관리,,3,"1. 챌린지 관리 > 인증샷 승인관리 탭
2. 필터 : 승인대기
3. 목록 내에 내역 체크
4. [인증샷 승인] 버튼 클릭","안내 팝업이 노출된다.

 - 문구 : 선택한 인증샷을 승인하시겠습니까?
 - 버튼 : 확인/취소"
어드민,챌린지 관리_023,인증샷 승인관리,,4,"1. 챌린지 관리 > 인증샷 승인관리 탭
2. 필터 : 승인대기
3. 목록 내에 내역 체크
4. [인증샷 승인] 버튼 클릭
5. 취소 클릭",인증샷 승인되지 않으며 팝업이 닫힌다.
어드민,챌린지 관리_024,인증샷 승인관리,,5,"1. 챌린지 관리 > 인증샷 승인관리 탭
2. 필터 : 승인대기
3. 목록 내에 내역 체크
4. [인증샷 승인] 버튼 클릭
5. 확인 클릭","인증샷 승인되며 인증승인 상태로 변경된다.
인증 승인 탭으로 이동된다."
어드민,챌린지 관리_025,인증샷 승인관리,,6,"1. 챌린지 관리 > 인증샷 승인관리 탭
2. 필터 : 승인대기
3. 목록 내에 내역 체크
4. [인증샷 반려] 버튼 클릭","안내 팝업이 노출된다.

 - 타이틀 : 반려
 - 반려 사유 입력 영역
 - 문구 : 선택한 인증샷을 반려하시겠습니까?
 - 버튼 : 확인/취소"
어드민,챌린지 관리_026,인증샷 승인관리,,7,"1. 챌린지 관리 > 인증샷 승인관리 탭
2. 필터 : 승인대기
3. 목록 내에 내역 체크
4. [인증샷 반려] 버튼 클릭
5. 취소 클릭",인증샷 반려되지 않으며 팝업이 닫힌다.
어드민,챌린지 관리_027,인증샷 승인관리,,8,"1. 챌린지 관리 > 인증샷 승인관리 탭
2. 필터 : 승인대기
3. 목록 내에 내역 체크
4. [인증샷 반려] 버튼 클릭
5. 반려사유 미입력",확인 버튼 비활성화 상태로 반려 불가능
어드민,챌린지 관리_028,인증샷 승인관리,,9,"1. 챌린지 관리 > 인증샷 승인관리 탭
2. 필터 : 승인대기
3. 목록 내에 내역 체크
4. [인증샷 반려] 버튼 클릭
5. 반려사유 입력","확인 버튼 활성화되며 확인 클릭 시 인증실패 상태로 변경된다.
인증 실패 탭으로 이동된다.

* 반려 처리시 사용자화면 챌린지상세>챌린지보드에서 비노출 처리됨,
* 마이페이지>나의 챌린지내역에서는 계속 노출"
로그인 ,통합회원 로그인,로그인 동작 확인,,1,"1. 아이디/비밀번호 입력
2. 로그인 버튼 클릭",통합계정 로그인되며 서비스 메인화면으로 이동된다.
로그인,네이버 로그인,로그인 동작 확인,,1,"1. 네이버 로그인 클릭
2. 네이버 아이디/비밀번호 입력
3. 로그인 클릭",네이버 계정으로 로그인되며 서비스 메인화면으로 이동된다.
로그인,카카오 로그인,로그인 동작 확인,,1,"1. 카카오 로그인 클릭
2. 카카오 아이디/비밀번호 입력
3. 로그인 클릭",카카오 계정으로 로그인되며 서비스 메인화면으로 이동된다.
로그인,페이스북 로그인,로그인 동작 확인,,1,"1. 페이스북 로그인 클릭
2. 페이스북 아이디/비밀번호 입력
3. 로그인 클릭",페이스북 계정으로 로그인되며 서비스 메인화면으로 이동된다.
로그인,애플 로그인,로그인 동작 확인,,1,"1. 애플 로그인 클릭
2. 애플 아이디/비밀번호 입력
3. 로그인 클릭",애플 계정으로 로그인되며 서비스 메인화면으로 이동된다.
통합회원전환,통합계정ID 로그인_001,-,통합계정ID 존재,1,1. 통합계정으로 로그인 실행,통합회원 계정 결합 약관동의 페이지가 노출된다.
통합회원전환,통합계정ID 로그인_002,약관동의 페이지,통합계정ID 존재,2,1. 약관동의 페이지 UI 확인,"아래와 같이 노출
- 타이틀 : 통합회원id전환 및 결합
- 마블러스 통합ID로 전환하시면 One-ID로  
서비스의 코인을사용하실 수 있습니다.
- 전체약관 동의 체크박스
- [필수]통합ID서비스를 위한 개인정보 제공동의 체크박스
- 다음에 하기 버튼
- 확인 버튼"
통합회원전환,통합계정ID 로그인_003,약관동의 페이지,통합계정ID 존재,3,1. 다음에 하기 버튼 클릭,"통합계정 결합은 이루어지지 않고 로그인이 완료된다.
해당 계정으로 로그아웃 -> 재로그인 시 다시 계정 결합 플로우가 노출된다."
통합회원전환,통합계정ID 로그인_004,약관동의 페이지,,4,"1. 필수약관 및 전체약관 동의 체크하지 않음
2. 확인 버튼 활성화 여부 확인",확인 버튼이 비활성화 되며 버튼 클릭 시 반응하지 않는다.
통합회원전환,통합계정ID 로그인_005,약관동의 페이지,,5,"1. 필수약관 체크
2. 확인 버튼 활성화 여부 확인",확인 버튼이 활성화된다.
통합회원전환,통합계정ID 로그인_006,약관동의 페이지,,6,"1. 전체약관 체크
2. 확인 버튼 활성화 여부 및 필수약관 체크 여부 확인",확인 버튼이 활성화되며 필수약관 체크가 자동으로 이루어진다.
통합회원전환,통합계정ID 로그인_007,약관동의 페이지,,7,1. 필수약관 > 버튼 클릭,약관동의 개인정보 제공동의 팝업이 노출된다.
통합회원전환,통합계정ID 로그인_008,약관동의 페이지,개인정보 제공동의 팝업 노출 상태,8,1. x 버튼 클릭,팝업이 닫히며 약관동의 페이지가 노출된다.
통합회원전환,통합계정ID 로그인_009,약관동의 페이지,,9,"1. 전체약관 체크
2. 확인 버튼 클릭",휴대폰 본인 인증 페이지로 이동된다.
통합회원전환,통합계정 PASS 인증_001,휴대폰 본인 인증 페이지,통합계정ID 존재,1,1. 본인 인증 페이지 UI 확인,"아래와 같이 노출
- 타이틀 : 통합회원id전환 및 결합
- 기존 이용 사이트(밈즈, 푸드버스샵, 폴콘샵, 푸드버스 오더)
통합회원ID 전환여부 확인 및 기존 계정정보 연결을 위해 이름/휴대폰번호/CI조회 후 전환을 진행합니다.
- 통합회원 ID 전환은 만 14세 이상만 가능합니다.
서비스 회원가입 여부 확인을 위해 아래 정보로 조회가 진행됩니다.
조회정보 : 이름.  휴대폰번호, 생년월일, Ci
- 취소 버튼
- 휴대폰 인증 버튼"
통합회원전환,통합계정 PASS 인증_002,휴대폰 본인 인증 페이지,,2,1. 취소 버튼 클릭,"통합계정 결합은 이루어지지 않고 로그인이 완료되며 서비스 메인페이지로 이동된다.
해당 계정으로 로그아웃 -> 재로그인 시 다시 계정 결합 플로우가 노출된다."
통합회원전환,통합계정 PASS 인증_003,휴대폰 본인 인증 페이지,,3,1. 휴대폰 인증 버튼 클릭,PASS 인증 페이지로 이동된다.
통합회원전환,통합계정 PASS 인증_004,PASS 인증 완료,,4,1. PASS 인증 완료,통합회원ID 결합 페이지로 이동된다.
통합회원전환,통합계정 결합 페이지_001,통합회원 ID 결합,통합계정ID 존재,1,1. 통합계정ID 가 존재하는 경우 통합회원 ID 결합 페이지 확인,"아래와 같이 노출
- 타이틀 : 통합회원ID로 결합
- 통합회원ID가 존재합니다. 
해당계정을 통합회원ID로 결합하시면 One-ID로  
사이트를 편리하게 이용하실 수 있습니다.
- 계정 정보
통합회원 ID : nami1004 
통합회원ID 전환일시 : $YYYY-MM-DD HH:MM:SS$ 
보유코인 : 5,000cn
- [유의사항]
ID 전환 및 결합시 코인정책 확인 후 재정의
- 취소 버튼
- 통합회원 결합 버튼"
통합회원전환,통합계정 결합 페이지_002,통합회원 ID 결합,,2,1. 취소 버튼 클릭,"통합계정 결합은 이루어지지 않고 로그인이 완료되며 서비스 메인페이지로 이동된다.
해당 계정으로 로그아웃 -> 재로그인 시 다시 계정 결합 플로우가 노출된다."
통합회원전환,통합계정 결합 페이지_003,통합회원 ID 결합,,3,1. 계정 정보 유효성 확인,"아래와 같이 본인의 계정 정보가 정확한 값으로 노출된다.
통합회원 ID : nami1004 
통합회원ID 전환일시 : $YYYY-MM-DD HH:MM:SS$ 
보유코인 : 5,000cn"
통합회원전환,통합계정 결합 페이지_004,통합회원 ID 결합,,4,1. 통합회원 결합 버튼 클릭,통합회원 결합 완료 페이지가 노출된다.
통합회원전환,통합계정 결합 완료_001,통합회원 ID 결합 완료,통합계정ID 존재,1,1. 통합회원 결합 완료 페이지 확인,"아래와 같이 노출
- 타이틀 : 통합회원ID 전환 및 결합
감사합니다.
통합회원 전환 및 결합이 완료되었습니다.
- 계정정보
통합회원 ID : nami1004 
통합회원ID 전환일시 : $YYYY-MM-DD HH:MM:SS$ 
보유코인 : 5,000cn
- 통합회원 ID로 로그인 버튼
- 마블러스 통합 ID 서비스 이미지 노출"
