suite,name,summary,precondition,step_number,step,expectedresult
응모라운지,응모라운지_001,UI 확인,,1,1. 응모라운지 메인 UI 확인,"아래와 같이 노출된다.

 - 타이틀 : 응모라운지
 - 응모라운지/핫딜라운지 탭
 - 나의 보유 응모 패스 {N} 개
 - 전체/참여한 목록 탭
 "
응모라운지,응모라운지_002,새로고침,,2,"1. 응모라운지 메인 진입 상태
2. 스와이프 다운 동작",응모라운지 메인 새로고침 동작 확인
응모라운지,전체 탭_001,목록,  노출중인 응모가 없는 상태,1,"1. 응모라운지 진입
2. 응모라운지 탭
3. 전체 Tab 확인","아래 문구가 노출된다.

 - 진행중인 응모가 없습니다."
응모라운지,전체 탭_002,목록,  노출중인 응모가 있는 상태,2,"1. 응모라운지 진입
2. 응모라운지 탭
3. 전체 Tab 확인","아래와 같이 노출된다.

 - 썸네일 이미지, 타이틀명, 타이틀 설명
 - 딩첨자 수, 경품가/응모가
 - 마감 카운드다운
 - 최대 10개 노출 (스크롤 시 10개씩 추가 노출)
 - 전체 등록된 응모 노출
 - 업데이트 수정 기준 정렬"
응모라운지,전체 탭_003,목록,  응모 마감 시간 직전 응모가 있는 상태,3,"1. 응모라운지 진입
2. 응모라운지 탭
3. 전체 Tab 확인",[TBD] 마감 시간 종료될 경우 마감으로 변경되는지 확인
응모라운지,전체 탭_004,진행중인 응모,,1,"1. 전체 Tab 진입
2. 진행중인 응모 클릭","응모 상세페이지로 이동된다.

 - 헤더 : [<] 뒤로가기, 공유하기 버튼
 - 썸네일 이미지, 타이틀 명, 티켓명
 - 마감 카운드다운 : {HH:MM:SS} 후 마감 , 경품가/응모가 (원)
 - 응모 정보 : 응모기간, 당첨자 발표, 당첨 인원
 - 상세 정보
 - 유의 사항 
: 당첨 내역은 [응모라운지 > 참여된 응모 > 당첨자 발표]에서 확인 가능합니다.
경품 지급과 관련된 일정 및 안내는 당첨자 발표 안내 후, 당첨자에게 별도로 연락드릴 예정입니다.
문자로 발송된 예약번호로 관람일 당일 티켓 수령하여 입장하시면 됩니다.
5만 원을 초과하는 경품에 해당하는 제세공과금 22%는 당첨자 본인 부담입니다.
당사 사정에 따라 해당 이벤트의 내용은 변동될 수 있으며, 사전 안내 없이 종료될 수 있습니다.
회원정보 오기입으로 인한 경품 재발송은 불가하며 당사에서 책임지지 않습니다.
불법적인 방법을 통해 이벤트에 참여한 경우 모든 혜택은 무효처리됩니다.
응모에 필요한 응모패스는 챌린지에 참여하실 경우 획득하실 수 있습니다.
한 번 응모한 응모패스는 취소 및 재발급이 불가합니다.
한 이벤트에 중복 참여가 가능합니다.
 - 버튼 : 응모패스 {N}개로 응모하기 (활성화)"
응모라운지,전체 탭_005,진행중인 응모,  마감 시간 직전의 응모 상세 페이지 진입 상태,1,"1. 상세페이지에서 마감시간까지 대기
2. 응모패스 {N}개로 응모하기 클릭",[응모 마감] 상태로 바뀌며 반응 없음
응모라운지,전체 탭_006,진행중인 응모,  보유중인 응모 패스가 없는 상태,1,"1. 진행중인 응모 상세 페이지
2. [응모패스 {N}개로 응모하기] 버튼 클릭","안내 문구(모달 형태) 노출되며 응모 불가 확인

문구 : 응모 패스가 부족합니다
버튼 : 확인 
"
응모라운지,전체 탭_007,진행중 응모,  보유중인 응모 패스가 없는 상태,2,"1. 진행중인 응모 상세 페이지
2. [응모패스 {N}개로 응모하기] 버튼 클릭
3. [확인] 클릭",안내 문구 사라지며 상세페이지 유지된다.
응모라운지,참여한 탭_001,목록,  참여한 응모가 없는 상태,1,"1. 응모라운지 진입
2. 응모라운지 탭
3. 참여한 Tab 확인","아래 문구가 노출된다.

 - 참여한 응모가 없습니다."
응모라운지,참여한 탭_002,목록,  참여한 응모가 있는 상태,2,"1. 응모라운지 진입
2. 응모라운지 탭
3. 참여한 Tab 확인","아래와 같이 노출된다.

 - 썸네일 이미지, 타이틀명, 티켓명
 - 딩첨자 수, 경품가/응모가 (원)
 - 마감 카운드다운 : {HH:MM:SS} 후 마감
 - 최대 10개 노출 (스크롤 시 10개씩 추가 노출)
 - 마감된 응모도 노출"
