suite,name,summary,precondition,step_number,step,expectedresult
앱 실행,실행_001,앱 실행,,,"1. lgtv 게이트 웨이 진입
2. 스피드 퀴즈 실행",스피드퀴즈가 실행된다
앱 실행,로그인_001,성별 선택,게스트 아이디 가입 x ,,1. 스피드퀴즈 실행,아바타 설병 선택 페이지가 노출된다.
앱 실행,로그인_002,성별 선택,게스트 아이디 가입 x ,,1. 남자 아바타 선택,남자 아바타가 선택되며 스피드 퀴즈 메인페이지로 이동된다.
앱 실행,로그인_003,성별 선택,게스트 아이디 가입 x ,,1. 여자 아바타 선택,여자 아바타가 선택되며 스피드 퀴즈 메인페이지로 이동된다.
앱 실행,로그인_004,메인 페이지,게스트 아이디 가입 o,,1. 스피드퀴즈 실행,게스트 아이디 가입 시 설정된 아바타가 노출되며 스피드퀴즈 메인페이지로 이동된다.
스피드 퀴즈 메인,메인페이지,메인 페이지 ui 확인,,,1. 메인 ui 확인,"- 숫자 퀴즈 진입 버튼
- 기억력 퀴즈 진입 버튼
- 보유코인 노출 영역
- 보유하트 노출 영역
- 뒤로 가기 버튼
- 게임 아바타 노출"
스피드 퀴즈 메인,뒤로가기 버튼_001,뒤로가기 버튼,,,"1. 뒤로 가기 버튼 선택 
2. 동작 확인",ox 퀴즈 화면에서 벗어나 lg tv 게이트웨이로 이동이 이루어진다.
스피드 퀴즈 메인,리모컨 이전 버튼_001,리모컨 이전 버튼,,,"1. 리모컨 이전 버튼 선택
2. 동작 확인",ox 퀴즈 화면에서 벗어나 lg tv 게이트웨이로 이동이 이루어진다.
숫자 퀴즈,숫자 퀴즈 진입_001,숫자 퀴즈 진입,,,1. 숫자퀴즈 선택,숫자퀴즈 난이도 단계 선택 페이지로 이동된다.
숫자 퀴즈,난이도 선택_001,난이도 선택,,,1. 난이도 단계 선택 페이지 ui 확인,"- 보유코인 노출 영역
- 보유하트 노출 영역
- 뒤로가기 버튼
- 쉬움 난이도 (코인 보상 함께 노출)
- 중간 난이도 (코인 보상 함께 노출)
- 어려움 난이도 (코인 보상 함께 노출)"
숫자 퀴즈,보유코인_001,보유코인 확인,,,1. 보유코인 확인,ox 퀴즈를 진행하면서 보상 받은 코인의 수량이 노출된다.
숫자 퀴즈,보유코인_002,코인 합산 확인,"보유 코인 : 1,000",,"1. 게임 진행
2. 코인 영역 확인",보상만큼 코인이 지급되어 현재 수량에 합산이 되어 노출된다.
숫자 퀴즈,보유하트_001,보유하트 확인,,,1. 보유하트 확인,일 기준 10개까지 제공이 되며 24시 정각에 다시 10개 충전
숫자 퀴즈,보유하트_002,하트 차감,코인 상태 10 / 10,,"1. 게임 진행
2. 보윺 하트 확인",9/10 으로 하트가 차감 된다.
숫자 퀴즈,보유하트_003,하트 지급,코인 상태 0 / 10,,"1. 24시 이후 ox 퀴즈 접속 (상황 여의치 않을 경우 api or 서버팀에게 요청하여 시간 조작)
2. 보유 하트 확인",10 /10 으로 하트가 지급 된다.
숫자 퀴즈,스피드 퀴즈 진입_001,난이도 선택,하트가 없는 경우(남은 횟수가 1개 미만),,1. 쉬움/중간/어려움 난이도 선택,"숫자 퀴즈로 진입이 이루어지지 않고 아래의 화면이 노출된다.
- 안내 문구 : 남은 하트가 없습니다. 내일 다시 시도해 주세요.
- 확인 버튼
- 백그라운드 딤드"
숫자 퀴즈,스피드 퀴즈 진입_002,확인,하트 없는 경우 난이도 선택 시 화면 노출 상태,,1. 확인 버튼 선택,확인 버튼 선택 시 다시 백그라운드 딤드가 풀린다.
숫자 퀴즈,스피드 퀴즈 진입_003,난이도 선택,하트가 있는 경우(남은 횟수가 1개 이상),,1. 쉬움/중간/어려움 난이도 선택,리모콘 동작 튜토리얼 문구와 [플레이] 버튼  선택 가능한 페이지로 이동된다.
숫자 퀴즈,튜토리얼_001,튜토리얼 문구,,,1. 튜토리얼 문구 확인,"리모콘 상▲ 하▼  좌◀  우▶ 버튼으로 
아바타를 움직여 답변을 선택 하세요."
숫자 퀴즈,튜토리얼_002,플레이 버튼,,,1. 플레이 버튼 선택,숫자퀴즈가 시작된다.
숫자 퀴즈,튜토리얼_003,게임 시작 전 화면,,,1. 튜토리얼 시작 전 동작 확인,"1. 게임 시작 전 카운트다운 레디,고 문구와 음성 표출 
READY (0.1~0.2초) 출력
2. GO! (0.1~0.2초) 출력 후 게임 시작"
숫자 퀴즈,스피드 퀴즈 _001,문제 노출 확인,,,1. 문제 노출 확인,"퀴즈 문제는 랜덤 (3~10 까지)
귀여운 캐릭터가 달려서 지나간다.  
달려서 지나가는 움직이는 모션이 노출 
달리는 도도도 귀여운 음향효과 함께 노출 "
숫자 퀴즈,스피드 퀴즈 _002,퀴즈,,,1. 튜토리얼 퀴즈 랜덤 노출 확인,달려가는 캐릭터의 수가 랜덤으로 3명부터 10명까지 노출 되고 3명 미만 10명 초과로 노출되지 않는다.
숫자 퀴즈,스피드 퀴즈 _003,문제 풀이,,,1. 튜토리얼 풀이 화면 확인,퀴즈 문제 노출 이후 문제 풀이 화면이 노출된다.
숫자 퀴즈,스피드 퀴즈 _004,문제 제시,,,1. 문제 확인,"공통 문제가 노출된다.
문제 : 아이의 수는? "
숫자 퀴즈,난이도 선택_002,답 선택지,,,1. 난이도 선택에 따른 답 선택지 확인,"선택지 
쉬움 :  답 포함한 선택지 숫자 2개
중간 : 답 포함한 선택지 숫자 3개 
어려움 ; 답 포함한 선택지 숫자 4개 "
숫자 퀴즈,쉬움 난이도_001,답 선택지,,,1. 쉬움 난이도 레벨의 답 선택지 갯수 확인,쉬움 난이도에서는 선택지 2개가 노출된다.
숫자 퀴즈,쉬움 난이도_002,정답 선택시간,,,"1. 스피드 퀴즈 진입
2. 게임 시작 이후 답 선택 시간 확인",정답을 고를수 있는 시간은 5초이며 5초가 소진될 경우 오답으로 판정된다.
숫자 퀴즈,쉬움 난이도_003,카운트 다운,,,"1. 스피드 퀴즈 진입
2. 하단 카운트다운 동작 확인","5,4,3,2,1 카운트 다운이 노출된다."
숫자 퀴즈,쉬움 난이도_004,프로그레스바,,,"1. 스피드 퀴즈 진입
2. 하단 프로그레스바 동작 확인","5,4,3,2,1 카운트다운과 같이 동작되는 프로그레스바가 노출된다."
